date,cases_new,cases_active,deaths_new,admitted_covid,hosp_covid,icu_covid,vent_covid,rtk_ag,pcr,daily_partial,daily_full,daily_booster,cumul_partial,cumul_full,cumul_booster,cases_new_lag7,cases_new_lag14,cases_active_lag7,cases_active_lag14,admitted_covid_lag7,admitted_covid_lag14,hosp_covid_lag7,hosp_covid_lag14,icu_covid_lag7,icu_covid_lag14,vent_covid_lag7,vent_covid_lag14,rtk_ag_lag7,rtk_ag_lag14,pcr_lag7,pcr_lag14,daily_partial_lag7,daily_partial_lag14,daily_full_lag7,daily_full_lag14,daily_booster_lag7,daily_booster_lag14,cumul_partial_lag7,cumul_partial_lag14,cumul_full_lag7,cumul_full_lag14,cumul_booster_lag7,cumul_booster_lag14
2021-09-28,11332,174496,240.0,1297.0,7903.0,977.0,559.0,105105,47090,174013.0,170779.0,9.0,23831601.0,20582762.0,240.0,15759.0,15669.0,206477.0,225280.0,1446.0,1628.0,9521.0,11009.0,1076.0,1192.0,628.0,680.0,110875.0,81900.0,52789.0,66191.0,127658.0,78462.0,148586.0,190044.0,5.0,3.0,22833634.0,22211743.0,19335280.0,18089043.0,207.0,185.0
2021-09-08,19733,248678,361.0,2003.0,11823.0,1253.0,740.0,85696,71053,138829.0,213457.0,7.0,21573784.0,16961944.0,34.0,18762.0,22642.0,265279.0,264296.0,1809.0,2332.0,12686.0,13488.0,1386.0,1498.0,820.0,838.0,96183.0,90167.0,69043.0,78146.0,202131.0,176913.0,229614.0,275724.0,4.0,0.0,20465634.0,19258160.0,15569929.0,14110400.0,4.0,0.0
2021-11-11,6323,63830,49.0,694.0,4480.0,538.0,274.0,104308,30097,9026.0,45458.0,94817.0,25822785.0,25237773.0,927474.0,5713.0,6377.0,66947.0,71361.0,700.0,667.0,4580.0,4848.0,555.0,564.0,280.0,299.0,54017.0,92349.0,23807.0,27749.0,3124.0,19878.0,19711.0,120989.0,21434.0,53144.0,25773379.0,25709075.0,25013227.0,24649893.0,508465.0,234873.0
2021-11-27,5097,67253,40.0,553.0,4250.0,510.0,258.0,56325,28599,2642.0,5650.0,48565.0,25911720.0,25481637.0,2217127.0,5859.0,5809.0,69488.0,65322.0,647.0,700.0,4529.0,4600.0,532.0,527.0,261.0,277.0,63460.0,68890.0,27669.0,28254.0,3205.0,3728.0,6775.0,16707.0,38492.0,39106.0,25878516.0,25834968.0,25424196.0,25289619.0,1554444.0,1042803.0
2021-09-19,14954,210472,376.0,1399.0,10058.0,1144.0,652.0,70816,38498,66684.0,172598.0,1.0,22598060.0,18975125.0,200.0,19198.0,20396.0,237280.0,255794.0,1928.0,1847.0,11492.0,12021.0,1237.0,1304.0,719.0,734.0,48696.0,56013.0,50964.0,54484.0,84557.0,146007.0,166641.0,171237.0,94.0,3.0,22044812.0,21138957.0,17725368.0,16340276.0,180.0,22.0
2021-08-13,21468,241190,277.0,2380.0,14456.0,1479.0,875.0,84595,83098,186163.0,311620.0,0.0,17111032.0,10341599.0,0.0,20889.0,16840.0,221398.0,183708.0,2695.0,2198.0,14049.0,12919.0,1491.0,1538.0,932.0,901.0,79737.0,72807.0,77875.0,81791.0,205541.0,333244.0,266155.0,203247.0,0.0,0.0,15702369.0,13878595.0,8446205.0,6706230.0,0.0,0.0
2022-01-07,3381,39703,16.0,387.0,2502.0,254.0,114.0,78894,27388,2800.0,3700.0,215488.0,26053729.0,25689333.0,7623377.0,3573.0,3528.0,41227.0,46886.0,386.0,398.0,2664.0,2692.0,269.0,339.0,163.0,180.0,65695.0,70747.0,26830.0,29315.0,2792.0,2319.0,4774.0,4198.0,178680.0,138161.0,26035991.0,26016762.0,25665445.0,25636634.0,6332739.0,5409536.0
2021-09-18,15549,219363,324.0,1472.0,10140.0,1144.0,678.0,53716,51101,79130.0,176454.0,1.0,22528254.0,18802527.0,199.0,19550.0,19057.0,239354.0,256307.0,2094.0,2014.0,11325.0,12229.0,1233.0,1321.0,726.0,764.0,58493.0,64085.0,66155.0,68963.0,96680.0,148336.0,190306.0,188515.0,46.0,6.0,21954257.0,20985855.0,17558727.0,16169039.0,86.0,19.0
2021-09-20,14345,207702,301.0,1527.0,10130.0,1099.0,617.0,120160,45337,101572.0,211569.0,2.0,22702225.0,19186694.0,202.0,16073.0,17352.0,228127.0,252673.0,1786.0,1939.0,11252.0,12015.0,1194.0,1291.0,684.0,741.0,84811.0,96917.0,50451.0,65402.0,78666.0,143555.0,173631.0,200437.0,2.0,3.0,22127583.0,21285516.0,17898999.0,16540713.0,182.0,25.0
2021-08-15,20546,247264,282.0,2243.0,14472.0,1432.0,899.0,63849,71181,158706.0,282059.0,0.0,17451506.0,10913671.0,0.0,18688.0,17150.0,225396.0,195275.0,2104.0,2113.0,14281.0,13510.0,1509.0,1423.0,913.0,872.0,59401.0,52108.0,63659.0,54732.0,172445.0,310766.0,239837.0,185732.0,0.0,0.0,16079916.0,14526173.0,8933520.0,7099714.0,0.0,0.0
2021-07-27,16117,170226,207.0,2177.0,12375.0,1362.0,781.0,84147,70425,366816.0,206056.0,0.0,12806279.0,6076790.0,0.0,12366.0,11079.0,133704.0,96237.0,1658.0,1521.0,10997.0,8975.0,1339.0,1416.0,733.0,780.0,35951.0,71658.0,60679.0,66706.0,208644.0,268448.0,103553.0,171540.0,0.0,0.0,10560005.0,8647567.0,4899623.0,3944227.0,0.0,0.0
2021-08-25,22642,264296,265.0,2332.0,13488.0,1498.0,838.0,90167,78146,176913.0,275724.0,0.0,19258160.0,14110400.0,0.0,22242.0,20780.0,254488.0,233361.0,2458.0,2473.0,14308.0,14365.0,1457.0,1489.0,871.0,879.0,88829.0,95214.0,82821.0,75278.0,207682.0,245288.0,365299.0,275048.0,0.0,0.0,18050254.0,16706137.0,11965339.0,9695648.0,0.0,0.0
2021-11-28,4239,66456,29.0,538.0,3798.0,519.0,261.0,70390,21549,2185.0,3838.0,37880.0,25914134.0,25485475.0,2255007.0,4854.0,5162.0,68793.0,65420.0,560.0,635.0,4449.0,4637.0,541.0,524.0,267.0,265.0,69282.0,77254.0,21779.0,23164.0,2762.0,3591.0,5318.0,11605.0,31150.0,31552.0,25881344.0,25838979.0,25429514.0,25301224.0,1585594.0,1074355.0
2021-10-13,7950,106050,68.0,1025.0,6336.0,722.0,380.0,102738,33077,53300.0,162686.0,2220.0,25323408.0,22512460.0,3731.0,9380.0,12434.0,132179.0,169722.0,1070.0,1359.0,6801.0,7813.0,843.0,970.0,442.0,562.0,110446.0,99474.0,39793.0,46182.0,115745.0,197335.0,104194.0,158585.0,41.0,6.0,24886561.0,24030326.0,21628045.0,20741347.0,567.0,246.0
2021-12-09,5446,60858,41.0,591.0,3715.0,427.0,232.0,92997,32646,5012.0,8420.0,132898.0,25967835.0,25565512.0,3448056.0,5806.0,6144.0,62254.0,68756.0,592.0,645.0,3972.0,4510.0,510.0,516.0,266.0,272.0,84072.0,94368.0,32965.0,29707.0,5543.0,6046.0,9498.0,6471.0,139929.0,131307.0,25935866.0,25903902.0,25520151.0,25468878.0,2754076.0,2064020.0
2021-10-27,6148,71716,98.0,709.0,4952.0,562.0,292.0,102113,32248,19727.0,128670.0,28294.0,25687881.0,24528904.0,181729.0,5516.0,7950.0,83226.0,106050.0,706.0,1025.0,5372.0,6336.0,666.0,722.0,329.0,380.0,121657.0,102738.0,25985.0,33077.0,31130.0,53300.0,220939.0,162686.0,17337.0,2220.0,25525598.0,25323408.0,23583251.0,22512460.0,51821.0,3731.0
2021-11-01,4626,67236,63.0,589.0,4655.0,569.0,301.0,139221,26971,9730.0,58475.0,44714.0,25750398.0,24889072.0,363496.0,4782.0,5434.0,73226.0,90444.0,665.0,1369.0,5101.0,5933.0,602.0,679.0,300.0,347.0,130924.0,127751.0,27173.0,28023.0,24083.0,33121.0,146934.0,175027.0,22346.0,9232.0,25640495.0,25476965.0,24258219.0,23238748.0,130653.0,33073.0
2021-08-22,19807,262259,232.0,2004.0,13852.0,1452.0,871.0,60752,65149,150818.0,314962.0,0.0,18747797.0,13301146.0,0.0,20546.0,18688.0,247264.0,225396.0,2243.0,2104.0,14472.0,14281.0,1432.0,1509.0,899.0,913.0,63849.0,59401.0,71181.0,63659.0,158706.0,172445.0,282059.0,239837.0,0.0,0.0,17451506.0,16079916.0,10913671.0,8933520.0,0.0,0.0
2021-11-12,6517,64280,41.0,711.0,4532.0,542.0,268.0,89148,32604,7758.0,35139.0,76223.0,25830848.0,25272912.0,1003697.0,4922.0,6060.0,66243.0,70061.0,560.0,689.0,4613.0,4802.0,549.0,567.0,282.0,300.0,70141.0,84734.0,21955.0,26856.0,5903.0,15612.0,32046.0,84597.0,48466.0,45784.0,25779457.0,25725398.0,25045273.0,24734490.0,556931.0,280657.0
2021-10-19,5745,87187,69.0,826.0,5444.0,676.0,330.0,72466,29720,15212.0,123564.0,1411.0,25493166.0,23362312.0,34484.0,7276.0,8817.0,109000.0,135949.0,1090.0,1079.0,6294.0,6893.0,738.0,841.0,386.0,438.0,108487.0,113545.0,39859.0,44228.0,57441.0,126115.0,160217.0,109029.0,195.0,107.0,25268591.0,24768310.0,22349774.0,21523851.0,1511.0,526.0
2021-09-29,12434,169722,208.0,1359.0,7813.0,970.0,562.0,99474,46182,197335.0,158585.0,6.0,24030326.0,20741347.0,246.0,14990.0,19495.0,201278.0,225593.0,1530.0,1817.0,9121.0,10737.0,1073.0,1238.0,609.0,630.0,127625.0,79454.0,48687.0,62947.0,126918.0,74774.0,214933.0,199722.0,3.0,6.0,22965688.0,22290230.0,19550213.0,18288765.0,210.0,191.0
