date,cases_new,cases_active,deaths_new,admitted_covid,hosp_covid,icu_covid,vent_covid,rtk_ag,pcr,daily_partial,daily_full,daily_booster,cumul_partial,cumul_full,cumul_booster,cases_new_lag7,cases_new_lag14,cases_active_lag7,cases_active_lag14,admitted_covid_lag7,admitted_covid_lag14,hosp_covid_lag7,hosp_covid_lag14,icu_covid_lag7,icu_covid_lag14,vent_covid_lag7,vent_covid_lag14,rtk_ag_lag7,rtk_ag_lag14,pcr_lag7,pcr_lag14,daily_partial_lag7,daily_partial_lag14,daily_full_lag7,daily_full_lag14,daily_booster_lag7,daily_booster_lag14,cumul_partial_lag7,cumul_partial_lag14,cumul_full_lag7,cumul_full_lag14,cumul_booster_lag7,cumul_booster_lag14
2021-08-03,17105,203666,195.0,2207.0,13461.0,1460.0,898.0,85565,84915,254195.0,251032.0,0.0,15017544.0,7603169.0,0.0,16117.0,12366.0,170226.0,133704.0,2177.0,1658.0,12375.0,10997.0,1362.0,1339.0,781.0,733.0,84147.0,35951.0,70425.0,60679.0,366816.0,208644.0,206056.0,103553.0,0.0,0.0,12806279.0,10560005.0,6076790.0,4899623.0,0.0,0.0
2021-08-26,24599,265845,393.0,2301.0,12884.0,1484.0,853.0,82344,72735,173050.0,267556.0,0.0,19433189.0,14377956.0,0.0,22948.0,21668.0,255538.0,237024.0,2153.0,2370.0,14181.0,14142.0,1454.0,1524.0,847.0,878.0,81565.0,93458.0,90293.0,87780.0,197407.0,218728.0,352519.0,334331.0,0.0,0.0,18247664.0,16924867.0,12317858.0,10029979.0,0.0,0.0
2021-12-18,4083,54096,29.0,436.0,3122.0,391.0,215.0,62603,30918,1181.0,2398.0,70501.0,25998189.0,25609887.0,4541349.0,4626.0,4896.0,60780.0,62671.0,506.0,559.0,3643.0,3946.0,404.0,490.0,211.0,269.0,60783.0,59322.0,30685.0,30687.0,1467.0,3294.0,2909.0,4863.0,69814.0,64026.0,25973689.0,25944308.0,25575939.0,25532321.0,3635053.0,2935972.0
2021-11-03,5291,67163,46.0,664.0,4677.0,546.0,286.0,92954,30027,8675.0,45227.0,65657.0,25770013.0,24993516.0,487031.0,6148.0,5516.0,71716.0,83226.0,709.0,706.0,4952.0,5372.0,562.0,666.0,292.0,329.0,102113.0,121657.0,32248.0,25985.0,19727.0,31130.0,128670.0,220939.0,28294.0,17337.0,25687881.0,25525598.0,24528904.0,23583251.0,181729.0,51821.0
2021-12-10,5058,60875,44.0,583.0,3710.0,403.0,212.0,79782,35022,3942.0,7518.0,117183.0,25972112.0,25573030.0,3565239.0,5551.0,5501.0,62487.0,67548.0,602.0,594.0,3972.0,4499.0,498.0,513.0,269.0,260.0,73835.0,70616.0,31879.0,29871.0,4521.0,5096.0,7307.0,7109.0,117870.0,104542.0,25940571.0,25909053.0,25527458.0,25475987.0,2871946.0,2168562.0
2021-07-30,16840,183708,134.0,2198.0,12919.0,1538.0,901.0,72807,81791,333244.0,203247.0,0.0,13878595.0,6706230.0,0.0,15573.0,12541.0,147387.0,114054.0,2071.0,1489.0,11398.0,10000.0,1356.0,1270.0,739.0,709.0,75750.0,68659.0,80693.0,75090.0,314845.0,284002.0,164712.0,134328.0,0.0,0.0,11507697.0,9544952.0,5412028.0,4404187.0,0.0,0.0
2021-08-08,18688,225396,360.0,2104.0,14281.0,1509.0,913.0,59401,63659,172445.0,239837.0,0.0,16079916.0,8933520.0,0.0,17150.0,17045.0,195275.0,160904.0,2113.0,1982.0,13510.0,12022.0,1423.0,1438.0,872.0,801.0,52108.0,52772.0,54732.0,67047.0,310766.0,292629.0,185732.0,125179.0,0.0,0.0,14526173.0,12096456.0,7099714.0,5674926.0,0.0,0.0
2021-09-21,15759,206477,334.0,1446.0,9521.0,1076.0,628.0,110875,52789,127658.0,148586.0,5.0,22833634.0,19335280.0,207.0,15669.0,18547.0,225280.0,252007.0,1628.0,1985.0,11009.0,11935.0,1192.0,1278.0,680.0,728.0,81900.0,89432.0,66191.0,75120.0,78462.0,144695.0,190044.0,207774.0,3.0,2.0,22211743.0,21432724.0,18089043.0,16748487.0,185.0,27.0
2021-11-09,5403,61777,78.0,674.0,4394.0,542.0,268.0,136390,35710,8358.0,31954.0,79257.0,25804465.0,25152172.0,745028.0,5071.0,5726.0,66865.0,73261.0,698.0,688.0,4685.0,4947.0,559.0,584.0,299.0,305.0,101851.0,103247.0,28234.0,33134.0,9680.0,25204.0,59217.0,142015.0,57878.0,22782.0,25760863.0,25666831.0,24948289.0,24400234.0,421374.0,153435.0
2021-10-21,6210,81778,96.0,827.0,5111.0,666.0,306.0,104199,32533,32712.0,194682.0,20584.0,25559955.0,23777933.0,72405.0,8084.0,9890.0,101590.0,129053.0,1362.0,1079.0,6266.0,6631.0,702.0,831.0,367.0,443.0,103319.0,100153.0,29021.0,35360.0,42373.0,110200.0,171433.0,95310.0,3330.0,67.0,25367896.0,24998862.0,22683893.0,21723355.0,7061.0,634.0
