date,cases_new,deaths_new,cases_new_lag7,cases_new_lag14,cases_new_7d_avg
2021-09-22,14990,487.0,19495.0,19733.0,15998.42857142857
2021-09-09,19307,322.0,20988.0,24599.0,19110.0
2021-09-23,13754,116.0,18815.0,19307.0,15275.42857142857
2021-12-26,2778,19.0,3108.0,3490.0,3174.8571428571427
2021-11-17,6288,68.0,6243.0,5291.0,5807.857142857143
2021-10-06,9380,105.0,12434.0,14990.0,10125.285714285714
2021-12-14,4097,48.0,4965.0,4879.0,4463.0
2021-07-31,17786,165.0,15902.0,12528.0,16697.0
2021-10-30,5854,44.0,5828.0,7509.0,5801.857142857143
2021-12-12,3490,17.0,4298.0,4239.0,4695.285714285715
2022-01-01,3386,26.0,3160.0,4083.0,3295.8571428571427
2021-10-27,6148,98.0,5516.0,7950.0,5855.714285714285
2021-11-20,5859,41.0,5809.0,4701.0,5800.0
2021-08-24,20837,211.0,19631.0,19991.0,21333.14285714286
2021-12-22,3519,30.0,3900.0,5020.0,3580.4285714285716
2021-12-13,3504,29.0,4262.0,4087.0,4587.0
2021-11-03,5291,46.0,6148.0,5516.0,5465.428571428572
2021-10-02,10915,109.0,13899.0,15549.0,11909.714285714286
2021-09-03,19378,330.0,22070.0,23564.0,20352.714285714286
2021-12-02,5806,47.0,6144.0,6380.0,5006.857142857143
2021-08-20,23564,233.0,21468.0,20889.0,21334.428571428572
2021-11-07,4343,35.0,4979.0,5666.0,4952.428571428572
2022-01-06,3543,19.0,3997.0,3510.0,3169.4285714285716
2021-11-02,5071,70.0,5726.0,5745.0,5587.857142857143
2021-08-09,17236,212.0,15764.0,14516.0,19084.285714285714
2021-10-04,8075,76.0,10959.0,14345.0,10920.857142857143
2021-12-09,5446,41.0,5806.0,6144.0,4919.714285714285
2021-08-04,19819,257.0,17405.0,11985.0,17376.285714285714
2021-08-25,22642,265.0,22242.0,20780.0,21390.285714285714
